"study","treatment","r","n","y","sd"
"UNCOVER 1",NA,386,433,NA,NA
"UNCOVER 1",NA,357,432,NA,NA
"UNCOVER 1",NA,17,431,NA,NA
"UNCOVER 2",NA,315,351,NA,NA
"UNCOVER 2",NA,269,347,NA,NA
"UNCOVER 2",NA,149,358,NA,NA
"UNCOVER 2",NA,4,168,NA,NA
"UNCOVER 3",NA,336,385,NA,NA
"UNCOVER 3",NA,325,386,NA,NA
"UNCOVER 3",NA,204,382,NA,NA
"UNCOVER 3",NA,14,193,NA,NA
"Langley et al (2018)",NA,510,616,NA,NA
"Langley et al (2018)",NA,545,611,NA,NA
"IXORA-S",NA,114,166,NA,NA
"IXORA-S",NA,120,136,NA,NA
"ERASURE",NA,200,245,NA,NA
"ERASURE",NA,175,245,NA,NA
"ERASURE",NA,11,248,NA,NA
"FIXTURE",NA,252,327,NA,NA
"FIXTURE",NA,219,327,NA,NA
"FIXTURE",NA,143,326,NA,NA
"FIXTURE",NA,16,326,NA,NA
"CLEAR",NA,307,337,NA,NA
"CLEAR",NA,268,339,NA,NA
"FEATURE",NA,45,59,NA,NA
"FEATURE",NA,41,59,NA,NA
"FEATURE",NA,0,59,NA,NA
"JUNCTURE",NA,52,60,NA,NA
"JUNCTURE",NA,44,61,NA,NA
"JUNCTURE",NA,2,61,NA,NA
"AMAGINE-1",NA,185,222,NA,NA
"AMAGINE-1",NA,132,219,NA,NA
"AMAGINE-1",NA,6,220,NA,NA
"AMAGINE-2",NA,528,612,NA,NA
"AMAGINE-2",NA,406,610,NA,NA
"AMAGINE-2",NA,210,300,NA,NA
"AMAGINE-2",NA,25,309,NA,NA
"AMAGINE-3",NA,531,624,NA,NA
"AMAGINE-3",NA,435,629,NA,NA
"AMAGINE-3",NA,217,313,NA,NA
"AMAGINE-3",NA,19,315,NA,NA
"ACCEPT",NA,141,209,NA,NA
"ACCEPT",NA,256,347,NA,NA
"ACCEPT",NA,197,347,NA,NA
"PHOENIX 1",NA,171,255,NA,NA
"PHOENIX 1",NA,170,256,NA,NA
"PHOENIX 1",NA,8,255,NA,NA
"PHOENIX 2",NA,273,409,NA,NA
"PHOENIX 2",NA,311,411,NA,NA
"PHOENIX 2",NA,15,410,NA,NA
"Tsai et al (2011)",NA,41,61,NA,NA
"Tsai et al (2011)",NA,3,60,NA,NA
"Igarashi et al (2012)",NA,38,64,NA,NA
"Igarashi et al (2012)",NA,42,62,NA,NA
"Igarashi et al (2012)",NA,2,32,NA,NA
"VOYAGE 1",NA,270,329,NA,NA
"VOYAGE 1",NA,239,334,NA,NA
"VOYAGE 1",NA,9,174,NA,NA
"VOYAGE 2",NA,396,496,NA,NA
"VOYAGE 2",NA,164,248,NA,NA
"reSURFACE 1",NA,192,308,NA,NA
"reSURFACE 1",NA,197,309,NA,NA
"reSURFACE 1",NA,9,155,NA,NA
"reSURFACE 2",NA,206,314,NA,NA
"reSURFACE 2",NA,188,307,NA,NA
"reSURFACE 2",NA,151,313,NA,NA
"reSURFACE 2",NA,9,156,NA,NA
"REVEAL",NA,554,814,NA,NA
"REVEAL",NA,20,398,NA,NA
"Saurat et al (2008)",NA,83,108,NA,NA
"Saurat et al (2008)",NA,8,53,NA,NA
"Papp et al (2005)",NA,96,194,NA,NA
"Papp et al (2005)",NA,67,196,NA,NA
"Papp et al (2005)",NA,6,193,NA,NA
"NCT01646073",NA,263,338,NA,NA
"NCT01646073",NA,10,87,NA,NA
"EXPRESS II",NA,237,314,NA,NA
"EXPRESS II",NA,220,313,NA,NA
"EXPRESS II",NA,4,208,NA,NA
"EXPRESS",NA,245,301,NA,NA
"EXPRESS",NA,3,77,NA,NA
