"study","treatment","r","n","y","sd"
"1","BetaB",3,38,NA,NA
"1","Control",3,39,NA,NA
"2","BetaB",7,114,NA,NA
"2","Control",14,116,NA,NA
"3","BetaB",5,69,NA,NA
"3","Control",11,93,NA,NA
"4","BetaB",102,1533,NA,NA
"4","Control",127,1520,NA,NA
"5","BetaB",28,355,NA,NA
"5","Control",27,365,NA,NA
"6","BetaB",4,59,NA,NA
"6","Control",6,52,NA,NA
"7","BetaB",98,945,NA,NA
"7","Control",152,939,NA,NA
"8","BetaB",60,632,NA,NA
"8","Control",48,471,NA,NA
"9","BetaB",25,278,NA,NA
"9","Control",37,282,NA,NA
"10","BetaB",138,1916,NA,NA
"10","Control",188,1921,NA,NA
"11","BetaB",64,873,NA,NA
"11","Control",52,583,NA,NA
"12","BetaB",45,263,NA,NA
"12","Control",47,266,NA,NA
"13","BetaB",9,291,NA,NA
"13","Control",16,293,NA,NA
"14","BetaB",57,858,NA,NA
"14","Control",45,883,NA,NA
"15","BetaB",25,154,NA,NA
"15","Control",31,147,NA,NA
"16","BetaB",33,207,NA,NA
"16","Control",38,213,NA,NA
"17","BetaB",28,251,NA,NA
"17","Control",12,122,NA,NA
"18","BetaB",8,151,NA,NA
"18","Control",6,154,NA,NA
"19","BetaB",6,174,NA,NA
"19","Control",3,134,NA,NA
"20","BetaB",32,209,NA,NA
"20","Control",40,218,NA,NA
"21","BetaB",27,391,NA,NA
"21","Control",43,364,NA,NA
"22","BetaB",22,680,NA,NA
"22","Control",39,674,NA,NA
