"study","treat1","treat2","TE","seTE"
NA,"1","3",-1.05129302699633,0.413243231419396
NA,"2","3",-0.00124455523220472,0.450406957665775
NA,"1","3",-2.20228928620676,0.143043865170366
NA,"1","3",-0.87035363668713,0.791093254011701
NA,"1","3",-0.415648521886279,0.155732897872958
NA,"1","3",-20.4508512363224,10000.0000083528
NA,"1","3",-2.70539327492945,0.625160818777302
NA,"1","3",-2.42518741508638,1.04225122951142
NA,"1","3",-0.443616874072541,0.521976908539188
NA,"1","2",0.0159649357312724,0.169915045874876
NA,"1","2",-0.393504543648524,0.326575446159963
NA,"1","3",-0.390412268317413,0.168017707955201
NA,"1","3",-0.106335649816033,0.595599682337342
NA,"1","3",-0.583398287042234,0.298346728281924
NA,"1","4",-21.2157423215442,10000.000012601
NA,"1","2",-0.702941578152233,0.441321712534812
NA,"1","3",-0.539679845514607,0.140119917217707
NA,"1","3",0.155810431245623,0.321223045388269
NA,"1","3",0.239970161562556,0.173656434118018
NA,"1","3",-0.0389560069154973,0.187384204203303
NA,"2","3",0.151684587332065,0.428975285602477
NA,"2","4",-1.04348630604959,0.448979522015191
NA,"3","4",-0.680724660561388,0.409239357652526
NA,"3","4",0.405465108108164,0.713906041260888
