"study","treatment","r","n","y","sd"
"UNCOVER 1",NA,307,433,NA,NA
"UNCOVER 1",NA,279,432,NA,NA
"UNCOVER 1",NA,2,431,NA,NA
"UNCOVER 2",NA,248,351,NA,NA
"UNCOVER 2",NA,207,347,NA,NA
"UNCOVER 2",NA,67,358,NA,NA
"UNCOVER 2",NA,1,168,NA,NA
"UNCOVER 3",NA,262,385,NA,NA
"UNCOVER 3",NA,252,386,NA,NA
"UNCOVER 3",NA,98,382,NA,NA
"UNCOVER 3",NA,6,193,NA,NA
"Langley et al (2018)",NA,398,616,NA,NA
"Langley et al (2018)",NA,460,611,NA,NA
"IXORA-S",NA,70,166,NA,NA
"IXORA-S",NA,99,136,NA,NA
"ERASURE",NA,145,245,NA,NA
"ERASURE",NA,96,245,NA,NA
"ERASURE",NA,3,248,NA,NA
"FIXTURE",NA,177,327,NA,NA
"FIXTURE",NA,137,327,NA,NA
"FIXTURE",NA,67,326,NA,NA
"FIXTURE",NA,5,326,NA,NA
"CLEAR",NA,245,337,NA,NA
"CLEAR",NA,181,339,NA,NA
"FEATURE",NA,36,59,NA,NA
"FEATURE",NA,27,59,NA,NA
"FEATURE",NA,0,59,NA,NA
"JUNCTURE",NA,33,60,NA,NA
"JUNCTURE",NA,24,61,NA,NA
"JUNCTURE",NA,0,61,NA,NA
"AMAGINE-1",NA,156,222,NA,NA
"AMAGINE-1",NA,93,219,NA,NA
"AMAGINE-1",NA,2,220,NA,NA
"AMAGINE-2",NA,428,612,NA,NA
"AMAGINE-2",NA,299,610,NA,NA
"AMAGINE-2",NA,141,300,NA,NA
"AMAGINE-2",NA,9,309,NA,NA
"AMAGINE-3",NA,431,624,NA,NA
"AMAGINE-3",NA,327,629,NA,NA
"AMAGINE-3",NA,150,313,NA,NA
"AMAGINE-3",NA,6,315,NA,NA
"ACCEPT",NA,76,209,NA,NA
"ACCEPT",NA,155,347,NA,NA
"ACCEPT",NA,80,347,NA,NA
"PHOENIX 1",NA,106,255,NA,NA
"PHOENIX 1",NA,94,256,NA,NA
"PHOENIX 1",NA,5,255,NA,NA
"PHOENIX 2",NA,173,409,NA,NA
"PHOENIX 2",NA,209,411,NA,NA
"PHOENIX 2",NA,3,410,NA,NA
"Igarashi et al (2012)",NA,21,64,NA,NA
"Igarashi et al (2012)",NA,27,62,NA,NA
"Igarashi et al (2012)",NA,1,32,NA,NA
"VOYAGE 1",NA,192,329,NA,NA
"VOYAGE 1",NA,148,334,NA,NA
"VOYAGE 1",NA,3,174,NA,NA
"VOYAGE 2",NA,287,496,NA,NA
"VOYAGE 2",NA,100,248,NA,NA
"reSURFACE 1",NA,109,308,NA,NA
"reSURFACE 1",NA,107,309,NA,NA
"reSURFACE 1",NA,4,155,NA,NA
"reSURFACE 2",NA,115,314,NA,NA
"reSURFACE 2",NA,119,307,NA,NA
"reSURFACE 2",NA,67,313,NA,NA
"reSURFACE 2",NA,2,156,NA,NA
"Saurat et al (2008)",NA,52,108,NA,NA
"Saurat et al (2008)",NA,4,53,NA,NA
"NCT01646073",NA,188,338,NA,NA
"NCT01646073",NA,10,87,NA,NA
"EXPRESS",NA,176,301,NA,NA
"EXPRESS",NA,1,77,NA,NA
