"study","treatment","r","n","y","sd"
"01","A",9,140,NA,NA
"01","C",23,140,NA,NA
"01","D",10,138,NA,NA
"02","B",11,78,NA,NA
"02","C",12,85,NA,NA
"02","D",29,170,NA,NA
"03","A",79,702,NA,NA
"03","B",77,694,NA,NA
"04","A",18,671,NA,NA
"04","B",21,535,NA,NA
"05","A",8,116,NA,NA
"05","B",19,146,NA,NA
"06","A",75,731,NA,NA
"06","C",363,714,NA,NA
"07","A",2,106,NA,NA
"07","C",9,205,NA,NA
"08","A",58,549,NA,NA
"08","C",237,1561,NA,NA
"09","A",0,33,NA,NA
"09","C",9,48,NA,NA
"10","A",3,100,NA,NA
"10","C",31,98,NA,NA
"11","A",1,31,NA,NA
"11","C",26,95,NA,NA
"12","A",6,39,NA,NA
"12","C",17,77,NA,NA
"13","A",95,1107,NA,NA
"13","C",134,1031,NA,NA
"14","A",15,187,NA,NA
"14","C",35,504,NA,NA
"15","A",78,584,NA,NA
"15","C",73,675,NA,NA
"16","A",69,1177,NA,NA
"16","C",54,888,NA,NA
"17","A",64,642,NA,NA
"17","C",107,761,NA,NA
"18","A",5,62,NA,NA
"18","C",8,90,NA,NA
"19","A",20,234,NA,NA
"19","C",34,237,NA,NA
"20","A",0,20,NA,NA
"20","D",9,20,NA,NA
"21","B",20,49,NA,NA
"21","C",16,43,NA,NA
"22","B",7,66,NA,NA
"22","D",32,127,NA,NA
"23","C",12,76,NA,NA
"23","D",20,74,NA,NA
"24","C",9,55,NA,NA
"24","D",3,26,NA,NA
