"study","treatment","r","n","y","sd"
"ACTIVE-W","03",65,3371,NA,NA
"ACTIVE-W","16",106,3335,NA,NA
"AFASAK 1","01",19,336,NA,NA
"AFASAK 1","03",9,335,NA,NA
"AFASAK 1","05",16,336,NA,NA
"AFASAK 2","03",11,170,NA,NA
"AFASAK 2","04",14,167,NA,NA
"AFASAK 2","06",9,169,NA,NA
"AFASAK 2","14",11,171,NA,NA
"BAATAF","01",13,208,NA,NA
"BAATAF","02",3,212,NA,NA
"BAFTA","03",21,488,NA,NA
"BAFTA","05",44,485,NA,NA
"CAFA","01",9,191,NA,NA
"CAFA","03",6,87,NA,NA
"Chinese ATAFS","03",9,335,NA,NA
"Chinese ATAFS","05",17,369,NA,NA
"EAFT","01",50,214,NA,NA
"EAFT","03",20,225,NA,NA
"EAFT","06",88,404,NA,NA
"ESPS 2","01",23,107,NA,NA
"ESPS 2","05",17,104,NA,NA
"ESPS 2","12",20,114,NA,NA
"ESPS 2","17",14,104,NA,NA
"JAST","01",19,445,NA,NA
"JAST","05",20,426,NA,NA
"JNAFESP","02",2,60,NA,NA
"JNAFESP","03",2,55,NA,NA
"LASAF","01",3,91,NA,NA
"LASAF","05",4,104,NA,NA
"LASAF","08",1,90,NA,NA
"MWNAF","03",1,153,NA,NA
"MWNAF","04",5,150,NA,NA
"NASPEAF","03",6,237,NA,NA
"NASPEAF","10",11,242,NA,NA
"NASPEAF","15",3,235,NA,NA
"PATAF","02",4,122,NA,NA
"PATAF","03",3,131,NA,NA
"PATAF","05",4,141,NA,NA
"SAFT","01",41,334,NA,NA
"SAFT","13",32,334,NA,NA
"SIFA","03",18,454,NA,NA
"SIFA","11",23,462,NA,NA
"SPAF 1","01",19,211,NA,NA
"SPAF 1","03",8,210,NA,NA
"SPAF 1","06",25,552,NA,NA
"SPAF 2a","03",19,358,NA,NA
"SPAF 2a","06",21,357,NA,NA
"SPAF 2b","03",20,197,NA,NA
"SPAF 2b","06",21,188,NA,NA
"SPAF 3","03",14,523,NA,NA
"SPAF 3","14",48,521,NA,NA
"SPINAF","01",23,290,NA,NA
"SPINAF","02",7,281,NA,NA
"SPORTIF 3","03",58,1703,NA,NA
"SPORTIF 3","09",42,1704,NA,NA
"SPORTIF 5","03",44,1962,NA,NA
"SPORTIF 5","09",52,1960,NA,NA
"UK-TIA","01",4,15,NA,NA
"UK-TIA","06",3,13,NA,NA
"UK-TIA","07",5,21,NA,NA
"WASPO","03",0,36,NA,NA
"WASPO","06",0,39,NA,NA
