"study","treat1","treat2","TE","seTE"
NA,"1","2",-1.9,0.14142135623731
NA,"1","2",-0.82,0.0993227063666713
NA,"1","5",-1,0.46690470119715
NA,"1","2",-1.2,0.375765884561119
NA,"1","3",-1.34,0.142835569799683
NA,"1","3",-1.1,0.113846387733647
NA,"1","4",-1.3,0.126400158227749
NA,"1","3",-0.77,0.107517440445725
NA,"2","4",0.16,0.0848528137423857
NA,"3","4",0.0999999999999996,0.182980873317404
NA,"1","3",-1.3,0.101237344888139
NA,"1","3",-1.09,0.226274169979695
NA,"1","3",-1.5,0.162265215003093
NA,"2","3",-0.14,0.223557598841999
NA,"3","7",1.2,0.143735868870648
NA,"5","7",0.4,0.154615652506465
NA,"1","5",-0.8,0.143178210632764
NA,"1","8",-0.57,0.128693434175952
NA,"1","9",-0.7,0.127279220613579
NA,"2","7",0.37,0.11879393923934
NA,"1","6",-0.74,0.183847763108502
NA,"1","6",-1.41,0.223606797749979
NA,"2","3",0,0.234068366081365
NA,"1","6",-0.68,0.282842712474619
NA,"1","2",-0.4,0.435174677572122
NA,"1","10",-0.23,0.346485208919515
NA,"1","10",-1.01,0.136605270762149
