"study","treat1","treat2","TE","seTE"
NA,"1","2",0.644298875165461,0.567820015580632
NA,"2","3",0.267836805077335,0.127827061105004
NA,"1","2",1.59799052659375,0.557317566202408
NA,"2","5",-0.528953008358547,0.738524825758105
NA,"2","5",-0.632978659093492,0.87467205743495
NA,"2","7",-0.587786664902119,0.400075068031063
NA,"2","6",-20.0701239909348,10000.0000106669
NA,"2","8",-0.787696660483731,0.188491887990322
NA,"2","9",0.341634832741001,0.357667538470604
NA,"1","2",1.94591014905531,0.766037327297559
NA,"1","2",1.06852120193116,0.314070056437297
NA,"1","2",1.09171570960905,0.48533163510944
NA,"2","5",-0.39332835890256,0.263338999378777
NA,"2","15",-1.43201873544324,0.343816928134413
NA,"2","10",0.371917269907452,0.232788996434399
NA,"2","10",-0.228871242057534,0.225923447236166
NA,"2","11",0.0127937674234169,0.0969707858753716
NA,"2","12",0.0445075973438558,0.11570015063801
NA,"2","13",-0.363369867038753,0.0869171491153629
