"study","treat1","treat2","TE","seTE"
NA,"1","2",0.976409862296187,0.232572345538046
NA,"1","2",0.414553741363851,0.29923566878567
NA,"1","2",0.149947198081283,0.130280680580157
NA,"1","3",-0.132489637687525,0.159954565470856
NA,"1","4",0.142227160474786,0.101107000928156
NA,"1","4",0.273550699316718,0.117832975194198
NA,"1","5",0.384679625483147,0.114030002734129
NA,"1","6",2.11599913741363,1.06557372061457
NA,"2","4",-0.150284663787133,0.112114567947617
NA,"2","5",0.0931900230246161,0.072081549160472
NA,"2","5",0.421014999527704,0.130337002036218
NA,"2","5",0.182610502907515,0.0783559079929853
NA,"2","6",0.227532864706513,0.108969247194669
NA,"2","6",0.21910576221584,0.142884349444946
NA,"3","4",0.104427244474828,0.233244810989991
NA,"3","4",0.0245844261498859,0.148010547431555
NA,"3","4",0.384432328051085,0.057699146612174
NA,"3","4",0.164833615048413,0.095008631693626
NA,"3","4",0.171433621722926,0.0594049371539151
NA,"3","5",0.119263239813012,0.0775337302220747
NA,"3","6",0.311388152679334,0.088290545545881
NA,"4","6",0.24160196147419,0.0556470810316963
